quantity,bin,binBarcode,barcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity,lastReceivedAt,lastReceivedPO
3,ROW 1 : LVL 5,1768938712713,5404022090882,First Aid,5,Grooming Deluxe Recovering Ice Gel,Horse Care > First Aid & Wellness > Liniments,72116,Title: Default Title,,,,,Wellington Warehouse,16.70,16.70,16.70,59.99,0,0,0.016949153,,
1,BIN-03,1774887638159,5407007535682,Cavali 2,3,Kentucky Horsewear Sammy Socks,Rider > Accessories & Apparel > Socks,42206-08-35/40,Color: Gray,Size: 35/40,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
1,BIN-03,1774887638159,5407007538591,Cavali 2,3,Kentucky Horsewear Sammy Socks,Rider > Accessories & Apparel > Socks,42206-08-41/46,Color: Gray,Size: 41/46,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
2,BIN-05,1767722133136,5407008896867,Shelf 6,5,Kentucky Horsewear Tendon Boots Velcro,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,88103-05-M,Color: Brown,Size: Horse,,,,Wellington Warehouse,86.93,86.93,86.93,234.99,0,0,,,
1,BIN-03,1774887638159,5407007538607,Cavali 2,3,Kentucky Horsewear Sammy Socks,Rider > Accessories & Apparel > Socks,42206-61-41/46,Color: Light Blue,Size: 41/46,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
1,BIN-03,1774887638159,5407007535125,Cavali 2,3,Kentucky Horsewear Sammy Socks,Rider > Accessories & Apparel > Socks,42206-01-35/40,Color: Black,Size: 35/40,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
1,BIN-03,1774887638159,5407007538614,Cavali 2,3,Kentucky Horsewear Sammy Socks,Rider > Accessories & Apparel > Socks,42206-10-41/46,Color: Pink,Size: 41/46,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
2,BIN-05,1767722133136,5407008896850,Shelf 6,5,Kentucky Horsewear Tendon Boots Velcro,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,88103-01-M,Color: Black,Size: Horse,,,,Wellington Warehouse,86.93,86.93,86.93,234.99,0,0,,,
1,BIN-03,1774887638159,5407008893071,Cavali 2,3,Kentucky Horsewear Glitter Socks,Rider > Accessories & Apparel > Socks,42702-08-35/40,Color: Gray,Size: 35/40,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
1,BIN-03,1774887638159,5407008893163,Cavali 2,3,Kentucky Horsewear Glitter Socks,Rider > Accessories & Apparel > Socks,42702-74-41/46,Color: Pine Green,Size: 41/46,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
1,BIN-03,1774887638159,5407007538423,Cavali 2,3,Kentucky Horsewear Socks,Rider > Accessories & Apparel > Socks,42208-61-35/40,Color: Light Blue,Size: 35/40,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
