quantity,bin,binBarcode,barcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity,lastReceivedAt,lastReceivedPO
-1,,,846774001917,,,Nunn Finer Andrea Girth,Tack & Equipment > Girths & Cinches > English Girths > Hunter/Jumper Girths,ANDREA-BK22,Color: Black,"Size: 22""",,,,Drop Ship,84.00,84.00,84.00,172.00,0,0,0.025,,
-1,,,846774015839,,,Nunn Finer Flat Leather Draw Reins with Snaps,Tack & Equipment > Training & Lunging > Training Reins,7BK,Color: Black,,,,,Drop Ship,58.00,58.00,58.00,120.00,0,0,,,
-1,,,846774014528,,,Nunn Finer Leather Side Reins with Elastic,Tack & Equipment > Training & Lunging > Training Reins,4BK,Color: Black,,,,,Drop Ship,67.00,67.00,67.00,140.00,0,0,0.04347826,,
-1,,,846774013231,,,"Nunn Finer Nylon Center Stirrup Leathers 1"" Wide",Tack & Equipment > Stirrups & Leathers > Stirrup Leathers & Accessories,430HA,Color: Havana,"Size: 54""",,,,Drop Ship,67.00,67.00,67.00,130.00,0,0,,,
-1,,,5404022048142,,,Dy'on Patent Large Crank Noseband Double Bridle,"Tack & Equipment > Bridles, Headstalls & Reins > Dressage Bridles",WOECASBLF,Size: Full,,,,,Drop Ship,77.24,77.24,77.24,424.99,0,0,,,
-1,,,,,,RevitaVet Knee Saver,Horse Care > Equine Therapy > Light Therapy,RevitaVetKneeSaver-Single,Quantity: Single,,,,,Drop Ship,300.00,300.00,300.00,429.00,0,0,,,
-1,,,,,,RevitaVet Knee Saver,Horse Care > Equine Therapy > Light Therapy,RevitaVetKneeSaver-Pair,Quantity: Pair,,,,,Drop Ship,300.00,300.00,300.00,799.00,0,0,0.014285714,,
-2,,,840539059021,,,5/A Baker Elizabeth Bag,Rider > Bags > Totes & Pouches,7050-BK,Color: Black,,,,,Drop Ship,179.00,179.00,179.00,357.95,0,0,,,
-2,,,840539060492,,,5/A Baker Duffle Bag,Rider > Bags > Totes & Pouches,7052-BR,Color: Brown,,,,,Drop Ship,154.00,154.00,154.00,307.95,0,0,,,
0,bin 1,1767031197411,290251218,First Shelf,1,Corro Equestrian Boot Bag,Rider > Bags > Boot Bags,SME001,"Size: 28.3"" x 15.4"" x 10.2""",Color: Navy,,,,Drop Ship,134.49,134.49,134.49,174.99,0,0,0.26136363,,
-5,,,,,,RevitaVet Infrared Blanket,Horse Care > Equine Therapy > Light Therapy,RVBLANKET,Color: Black,,,,,Drop Ship,2800.00,2800.00,2800.00,3999.99,0,0,0.011904762,,
